region	annotation	adjustment	arm	category	n_traits	median_estimate	n_positive_q_below_alpha	n_negative_q_below_alpha	cohort	tier
hippocampus	segdup_any	technical	all_vmrs	Cancer	2	-0.0360297006037715	0	0	AA	claim_eligible
hippocampus	segdup_any	technical_score	all_vmrs	Cancer	2	-0.0490618336384258	0	0	AA	claim_eligible
hippocampus	segdup_any	technical	high_mappability	Cancer	2	1.36598108723426	0	0	AA	claim_eligible
hippocampus	segdup_any	technical_score	high_mappability	Cancer	2	1.3094349264474	0	0	AA	claim_eligible
hippocampus	snp_proximal_any	technical	all_vmrs	Cancer	2	-0.305316909960664	0	0	AA	claim_eligible
hippocampus	snp_proximal_any	technical_score	all_vmrs	Cancer	2	-0.300793008401777	0	0	AA	claim_eligible
hippocampus	cell_composition_r2	technical	all_vmrs	Cancer	2	0.0228851077082665	0	0	AA	claim_eligible
hippocampus	cell_composition_r2	technical_score	all_vmrs	Cancer	2	0.0142824125376921	0	0	AA	claim_eligible
hippocampus	line_l1_any	technical	all_vmrs	Cardiometabolic	11	0.0135327984198641	0	0	AA	claim_eligible
hippocampus	line_l1_any	technical_score	all_vmrs	Cardiometabolic	11	-0.0490661640878145	0	0	AA	claim_eligible
hippocampus	line_l1_any	technical	high_mappability	Cardiometabolic	11	-0.0806410581988708	0	0	AA	claim_eligible
hippocampus	line_l1_any	technical_score	high_mappability	Cardiometabolic	11	-0.138010015574641	0	0	AA	claim_eligible
hippocampus	h3k9me3_any	technical	all_vmrs	Cardiometabolic	11	-0.341602494301656	0	1	AA	claim_eligible
hippocampus	h3k9me3_any	technical_score	all_vmrs	Cardiometabolic	11	-0.326614743208951	0	1	AA	claim_eligible
hippocampus	h3k9me3_any	technical	high_mappability	Cardiometabolic	11	-0.301442434481937	0	0	AA	claim_eligible
hippocampus	h3k9me3_any	technical_score	high_mappability	Cardiometabolic	11	-0.293368143189174	0	0	AA	claim_eligible
hippocampus	quiescent_any	technical	all_vmrs	Cardiometabolic	11	-0.318632643556439	0	4	AA	claim_eligible
hippocampus	quiescent_any	technical_score	all_vmrs	Cardiometabolic	11	-0.307398107254939	0	4	AA	claim_eligible
hippocampus	quiescent_any	technical	high_mappability	Cardiometabolic	11	-0.38826645393855	0	3	AA	claim_eligible
hippocampus	quiescent_any	technical_score	high_mappability	Cardiometabolic	11	-0.369000573983456	0	3	AA	claim_eligible
hippocampus	h3k27me3_any	technical	all_vmrs	Cardiometabolic	11	-0.136793502600721	0	0	AA	claim_eligible
hippocampus	h3k27me3_any	technical_score	all_vmrs	Cardiometabolic	11	-0.140752859963413	0	0	AA	claim_eligible
hippocampus	bivalent_any	technical	all_vmrs	Cardiometabolic	11	-0.0219594162861788	0	0	AA	claim_eligible
