pheno_id	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	PopSize	LD_Decay
pheno_234	1245	11	0.0542175350042139	0.983289562915714	200	0.6
pheno_235	14455	11	0.0618045717247412	0.999972280390949	200	0.6
pheno_236	5177	11	0.0676061947206646	0.999633345915956	200	0.6
pheno_237	1502	11	0.0854004144016547	0.989332314097949	200	0.6
pheno_238	1636	11	0.554987708518685	0.971368833244752	200	0.6
pheno_239	4082	11	0.096630546521576	0.998956413626019	200	0.6
pheno_240	5624	12	0.263074232611062	0.999129303749752	200	0.6
pheno_241	9276	12	0.071696197220621	0.999928477140771	200	0.6
pheno_242	2581	11	0.0873579939672359	0.996721638459652	200	0.6
pheno_243	847	18	0.0632779412684799	0.908751216250837	200	0.6
pheno_244	2073	12	0.332033763033408	0.984816701642251	200	0.6
pheno_245	5625	15	0.0887800952094035	0.99916514605373	200	0.6
pheno_246	5162	11	0.0675455586019817	0.999560437841642	200	0.6
pheno_247	4015	11	0.0741530056748361	0.999224699726017	200	0.6
pheno_248	2337	11	0.0893872514264259	0.996573673377282	200	0.6
pheno_249	2718	11	0.0901343032926368	0.997163536602751	200	0.6
pheno_250	4985	15	0.0913206453725838	0.999082537786382	200	0.6
pheno_251	2882	11	0.0837473717874016	0.997741268884322	200	0.6
pheno_252	3555	14	0.296013942000389	0.99620729768117	200	0.6
pheno_253	4870	11	0.0681590748519902	0.99957770091566	200	0.6
pheno_254	4862	11	0.0890508312847007	0.998492587483583	200	0.6
pheno_255	12674	11	0.067017429540958	0.999968873060408	200	0.6
pheno_256	6995	18	0.0774533914268027	0.999792904580222	200	0.6
pheno_257	4049	12	0.0902704707047877	0.998341518021979	200	0.6
pheno_258	8847	17	0.0714708925701742	0.999888457552363	200	0.6
pheno_259	5378	13	0.0758032227923899	0.999563543898015	200	0.6
pheno_260	4464	11	0.0816231018312398	0.999191249066233	200	0.6
pheno_261	972	11	0.0602748814218543	0.971240179200032	200	0.6
pheno_262	3024	18	0.109891640298181	0.998088437535946	200	0.6
pheno_263	11027	12	0.0676398995295897	0.999956038363768	200	0.6
pheno_264	9618	11	0.255088963746693	0.999756220636721	200	0.6
pheno_265	11201	11	0.068861478884563	0.999940806263887	200	0.6
pheno_266	5041	16	0.0800534927336574	0.999542895203157	200	0.6
pheno_267	9089	15	0.066496155002596	0.999827109565176	200	0.6
pheno_268	7454	11	0.0713229075128916	0.999872197577305	200	0.6
pheno_269	3617	11	0.0771078758685875	0.998674917592772	200	0.6
pheno_270	5123	11	0.0698250871946488	0.999654304054509	200	0.6
pheno_271	8473	11	0.257115241808229	0.9995269908978	200	0.6
pheno_272	4060	11	0.0821568042278999	0.998488531322834	200	0.6
pheno_273	871	11	0.0761366848571827	0.955784150376197	200	0.6
pheno_274	9433	11	0.0681594714744576	0.999939038284582	200	0.6
pheno_275	7314	14	0.0645177621647949	0.999837307472741	200	0.6
pheno_276	6702	16	0.0702072675232741	0.999797292017386	200	0.6
pheno_277	9180	11	0.0731054028075456	0.99990964484493	200	0.6
pheno_278	4915	14	0.0775761122471876	0.999563261506455	200	0.6
pheno_279	13100	11	0.0660780850879812	0.999969481027683	200	0.6
pheno_280	2589	11	0.089492572743291	0.997519266273268	200	0.6
pheno_281	7098	11	0.0731230226104084	0.999837122703421	200	0.6
