Tissue	h2_Category	OR	PValue	FDR	Test	Env
Caudate	Non-heritable	1.1578619894569169	0.03282991305556849	0.04333548523335041	DMR	smoking
Caudate	Non-heritable	0.5725181810009132	3.152046346252044e-07	3.467250980877248e-06	DMR	codeine
Caudate	Non-heritable	0.6633758192155785	0.0003975659588120183	0.0013119676640796602	DMR	morphine
Caudate	Non-heritable	0.5915755572506145	1.911120058240118e-05	9.00956598884627e-05	DMR	cocaine
Caudate	Non-heritable	1.0116336957246714	0.9074881889391742	0.9074881889391742	DMR	ethanol
Caudate	Non-heritable	1.3738154836402645	1.1237829664187356e-06	9.271209472954568e-06	DMR	nicotine
Caudate	Non-heritable	0.7858782072458981	0.013243844564581596	0.02188349220821598	DMR	amphetamines
Caudate	Non-heritable	1.2604990663724325	0.3831688586903711	0.45159186917079447	DMR	less_than_hs
Caudate	Non-heritable	1.2604990663724325	0.3831688586903711	0.45159186917079447	DMR	more_than_hs
Caudate	Non-heritable	0.4972548361847255	0.020162436832826532	0.028928713716664153	DMR	single
Caudate	Non-heritable	0.4972548361847255	0.020162436832826532	0.028928713716664153	DMR	previously_married
Caudate	Non-heritable	1.2101184459476972	0.006063031816392114	0.012505003121308735	Both	smoking
Caudate	Non-heritable	0.6103163556829955	1.1135354541061673e-05	7.349333997100704e-05	Both	codeine
Caudate	Non-heritable	0.6707011626311468	0.0008305589207364487	0.002342900761987943	Both	morphine
Caudate	Non-heritable	0.6233371358371358	0.00016321852123982834	0.0005984679112127039	Both	cocaine
Caudate	Non-heritable	1.0222715687031745	0.7835173119877333	0.80800222798735	Both	ethanol
Caudate	Non-heritable	1.4013503142716626	3.0052938197696556e-07	3.467250980877248e-06	Both	nicotine
Caudate	Non-heritable	0.7973953181668315	0.02431995647529011	0.033439940153523896	Both	amphetamines
Caudate	Non-heritable	1.158923076923077	0.6073320698099011	0.6680652767908912	Both	less_than_hs
Caudate	Non-heritable	1.2236999038153253	0.44908523984860643	0.5110280315518625	Both	more_than_hs
Caudate	Non-heritable	0.48101629913710453	0.013341261302157775	0.02188349220821598	Both	single
Caudate	Non-heritable	0.48101629913710453	0.013341261302157775	0.02188349220821598	Both	previously_married
Caudate	Low prediction	1.101310066970837	0.7831274072281296	1.0	Logit	smoking
Caudate	Low prediction	0.0	0.6413324990516243	1.0	Logit	codeine
Caudate	Low prediction	1.7732191891455338	0.32169587257193116	0.9701462677779367	Logit	morphine
Caudate	Low prediction	0.9635854341736695	1.0	1.0	Logit	cocaine
Caudate	Low prediction	1.5042735042735043	0.3527804610101588	0.9701462677779367	Logit	ethanol
Caudate	Low prediction	0.21924154277095453	0.12153755196377494	0.9701462677779367	Logit	nicotine
Caudate	Low prediction	1.2219906494676955	0.6810483527827603	1.0	Logit	amphetamines
Caudate	Low prediction	2.768212763249984	0.0676165023517034	0.9701462677779367	Logit	less_than_hs
Caudate	Low prediction	2.4914338277566976	0.09016201617034857	0.9701462677779367	Logit	more_than_hs
Caudate	Low prediction	0.0	0.4141923111335334	1.0	Logit	single
Caudate	Low prediction	0.0	0.6278541302862582	1.0	Logit	previously_married
Caudate	Low prediction	1.1025641025641026	0.7829635631279387	1.0	DMR	smoking
Caudate	Low prediction	0.0	0.6465287136453631	1.0	DMR	codeine
Caudate	Low prediction	1.737725688945201	0.3301181564341555	0.9701462677779367	DMR	morphine
Caudate	Low prediction	0.935374149659864	1.0	1.0	DMR	cocaine
Caudate	Low prediction	1.5132502506804182	0.35026396371380353	0.9701462677779367	DMR	ethanol
Caudate	Low prediction	0.22168538347697397	0.12153658504694981	0.9701462677779367	DMR	nicotine
Caudate	Low prediction	1.8304054054054053	0.24028115189722962	0.9701462677779367	DMR	amphetamines
Caudate	Low prediction	0.0	1.0	1.0	DMR	less_than_hs
Caudate	Low prediction	0.0	1.0	1.0	DMR	more_than_hs
Caudate	Low prediction	0.0	1.0	1.0	DMR	single
Caudate	Low prediction	0.0	1.0	1.0	DMR	previously_married
Caudate	Low prediction	1.1361115686597485	0.7789444989368078	1.0	Both	smoking
Caudate	Low prediction	0.0	0.6379314016360516	1.0	Both	codeine
Caudate	Low prediction	1.8420920291677143	0.3062006224947879	0.9701462677779367	Both	morphine
Caudate	Low prediction	0.9973746152453377	1.0	1.0	Both	cocaine
Caudate	Low prediction	1.562073418188526	0.33742682780243627	0.9701462677779367	Both	ethanol
Caudate	Low prediction	0.22860723236663086	0.18224709968870037	0.9701462677779367	Both	nicotine
Caudate	Low prediction	1.2675924845372855	0.6736797337270731	1.0	Both	amphetamines
Caudate	Low prediction	0.0	1.0	1.0	Both	less_than_hs
Caudate	Low prediction	0.0	1.0	1.0	Both	more_than_hs
Caudate	Low prediction	0.0	1.0	1.0	Both	single
Caudate	Low prediction	0.0	1.0	1.0	Both	previously_married
Hippocampus	Heritable	0.8231029961156882	0.00028812105489083115	0.0011884993514246784	Logit	smoking
Hippocampus	Heritable	0.9088195867162405	0.3780293740098224	0.4158323114108046	Logit	codeine
