sample_id	cell_type	proportion	region	method	reference	cell_type_raw
Br2009	Astrocyte	0.126592731512549	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2020	Astrocyte	0.0971318336731304	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2038	Astrocyte	0.117077136137953	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2044	Astrocyte	0.126743467670676	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2046	Astrocyte	0.137825492443913	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2053	Astrocyte	0.118282414156357	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2064	Astrocyte	0.127505156986154	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2074	Astrocyte	0.111922047396817	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2076	Astrocyte	0.129612451034918	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2084	Astrocyte	0.129734414135911	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2242	Astrocyte	0.131651935024167	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2257	Astrocyte	0.142030706934831	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2263	Astrocyte	0.111388985770657	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2267	Astrocyte	0.115809714526855	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2271	Astrocyte	0.138705633813449	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2285	Astrocyte	0.130079835595992	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2288	Astrocyte	0.129047048976186	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br2292	Astrocyte	0.130002837144346	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1003	Microglia	0.0886425617174702	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1004	Microglia	0.0793681332478651	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1007	Microglia	0.0812153174026263	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1016	Microglia	0.115495274556994	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1017	Microglia	0.0762508340278254	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1021	Microglia	0.0701849746328238	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1023	Microglia	0.0866075371941398	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1030	Microglia	0.0780947217803296	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1034	Microglia	0.0855621673133573	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1039	Microglia	0.0607346410211745	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1053	Microglia	0.0819412444150199	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1054	Microglia	0.0623964964209147	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1056	Microglia	0.0980175708950767	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1067	Microglia	0.0790659675472858	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1069	Microglia	0.0885081912535157	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1084	Microglia	0.0694001367792039	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1093	Microglia	0.0631120156214734	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1099	Microglia	0.0799749270275913	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1102	Microglia	0.0854347288816404	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1105	Microglia	0.0838335162358833	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1111	Microglia	0.0750429446220434	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1122	Microglia	0.0923536311317132	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1134	Microglia	0.078411438599378	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1135	Microglia	0.0718538478129515	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
