sample_id	cell_type	proportion
Br1740	Micro	0.0578466561352527
Br1740	Astro	0.17226129562818
Br1740	D1-SPN	0.0045890007024734
Br1740	D2-SPN	0.0587981923148227
Br1740	OPC	0.0102537198152206
Br1740	Inhib	0
Br1740	Immune	0.0188702154566679
Br2476	Oligo	0.700836035131332
Br2476	Micro	0.0945533349157646
Br2476	Astro	0.140859418827003
Br2476	D1-SPN	0.00206207866865567
Br2476	D2-SPN	0.0449617461087517
Br2476	OPC	0.0150569707188968
Br2476	Inhib	0
Br2476	Immune	0.00167041562959672
Br1676	Oligo	0.638743888268775
Br1676	Micro	0.0642671760680463
Br1676	Astro	0.178298181588831
Br1676	D1-SPN	0.0286167447960242
Br1676	D2-SPN	0.0517810959879835
Br1676	OPC	0.0184525532656399
Br1676	Inhib	0
Br1676	Immune	0.0198403600247003
Br5182	Oligo	0.645766640469156
Br5182	Micro	0.0701287469576299
Br5182	Astro	0.135033141198691
Br5182	D1-SPN	0.045705468541809
Br5182	D2-SPN	0.0741352020912114
Br5182	OPC	0.0273486787947416
Br5182	Inhib	0
Br5182	Immune	0.00188212194676184
Br1678	Oligo	0.716383698419274
Br1678	Micro	0.0663761906288429
Br1678	Astro	0.0847449399472209
Br1678	D1-SPN	0.00367502744338592
Br1678	D2-SPN	0.0902396088459975
Br1678	OPC	0.0385805347152786
Br1678	Inhib	0
Br1678	Immune	0
Br1204	Oligo	0.676309930139803
Br1204	Micro	0.0781123176570324
Br1204	Astro	0.0973062613907112
Br1204	D1-SPN	0.0288739895309638
Br1204	D2-SPN	0.0984927857110582
Br1204	OPC	0.0179043465770579
Br1204	Inhib	2.01664428751799e-05
Br1204	Immune	0.00298020255049807
Br1379	Oligo	0.401000114538445
Br1379	Micro	0.181497939187685
Br1379	Astro	0.246310657822457
Br1379	D1-SPN	0.0151291006962825
Br1379	D2-SPN	0.0342508882289021
Br1379	OPC	0.113166830633518
Br1379	Inhib	0.000125554774169627
Br1379	Immune	0.00851891411854083
Br1321	Oligo	0.623050070032316
Br1321	Micro	0.07403777623063
Br1321	Astro	0.161570637083853
Br1321	D1-SPN	0.0491204439143218
Br1321	D2-SPN	0.0651317428057987
Br1321	OPC	0.024640741397293
Br1321	Inhib	0
Br1321	Immune	0.00244858853578733
Br2242	Oligo	0.582438443299594
Br2242	Micro	0.0984578470720549
Br2242	Astro	0.130606116400859
Br2242	D1-SPN	0.0713197463640121
Br2242	D2-SPN	0.0955424737773075
Br2242	OPC	0.0160379504759995
Br2242	Inhib	0
Br2242	Immune	0.00559742261017299
Br2542	Oligo	0.725967095057199
Br2542	Micro	0.0634896918343866
Br2542	Astro	0.128334923403301
Br2542	D1-SPN	0.00201188373753577
Br2542	D2-SPN	0.0514466700745727
Br2542	OPC	0.0276523402820997
Br2542	Inhib	1.25744111669273e-05
Br2542	Immune	0.0010848211997385
Br1531	Oligo	0.544219353848545
Br1531	Micro	0.148384663882579
Br1531	Astro	0.193899733140802
Br1531	D1-SPN	0.0265578126882328
Br1531	D2-SPN	0.052738473354429
Br1531	OPC	0.02938649724093
Br1531	Inhib	0
Br1531	Immune	0.00481346584448243
Br873	Oligo	0.458660220462002
Br873	Micro	0.0463132791247945
Br873	Astro	0.335956674423942
Br873	D1-SPN	0.0530366288296701
Br873	D2-SPN	0.0430875331917968
Br873	OPC	0.0590618368712317
Br873	Inhib	0
Br873	Immune	0.0038838270965636
Br1054	Oligo	0.777301969522731
Br1054	Micro	0.0544944396870898
Br1054	Astro	0.135464213462692
Br1054	D1-SPN	0.00342412108621353
Br1054	D2-SPN	0.00237309421964224
Br1054	OPC	0.0201686532023338
Br1054	Inhib	0
Br1054	Immune	0.00677350881929807
Br1081	Oligo	0.64337389077013
Br1081	Micro	0.0704662482424071
Br1081	Astro	0.157421669417962
Br1081	D1-SPN	0.0118269773217594
Br1081	D2-SPN	0.104820003729597
Br1081	OPC	0.0103132518862926
Br1081	Inhib	0
Br1081	Immune	0.00177795863185178
Br2009	Oligo	0.595735881396047
Br2009	Micro	0.030118406285047
Br2009	Astro	0.0861046832726578
Br2009	D1-SPN	0.155786172515898
Br2009	D2-SPN	0.118145498377441
Br2009	OPC	0.00956066163517215
Br2009	Inhib	4.8823871474211e-05
Br2009	Immune	0.00449987264626349
Br1084	Oligo	0.659815772963825
Br1084	Micro	0.0868643575636966
Br1084	Astro	0.172943823049555
Br1084	D1-SPN	0.0101868421629681
Br1084	D2-SPN	0.0510867213300859
Br1084	OPC	0.0148564918047154
Br1084	Inhib	0
Br1084	Immune	0.00424599112515428
Br1921	Oligo	0.502498139060807
Br1921	Micro	0.094676461392908
Br1921	Astro	0.306169710144903
Br1921	D1-SPN	0.0266175833411085
Br1921	D2-SPN	0
Br1921	OPC	0.0510454558878197
Br1921	Inhib	0
Br1921	Immune	0.0189926501724543
Br1611	Oligo	0.457833175856065
Br1611	Micro	0.126683226114131
Br1611	Astro	0.183008385225925
Br1611	D1-SPN	0.0758316552862252
Br1611	D2-SPN	0.129475906436164
Br1611	OPC	0.0202157050231389
Br1611	Inhib	0
Br1611	Immune	0.00695194605835074
Br2346	Oligo	0.299873862664631
Br2346	Micro	0.0730693943685371
Br2346	Astro	0.248114095416492
Br2346	D1-SPN	0.126021759592678
Br2346	D2-SPN	0.222834648593428
Br2346	OPC	0.0281594406006389
Br2346	Inhib	1.70051837986591e-06
Br2346	Immune	0.00192509824521556
Br2371	Oligo	0.565440711844045
Br2371	Micro	0.0836104912045481
Br2371	Astro	0.251065875179577
Br2371	D1-SPN	0.0187174798091113
Br2371	D2-SPN	0.0577662590189912
Br2371	OPC	0.0223716461265385
Br2371	Inhib	0
Br2371	Immune	0.00102753681718932
Br1552	Oligo	0.569070328471421
Br1552	Micro	0.111333399514015
Br1552	Astro	0.194097373460011
Br1552	D1-SPN	0.0343883409576642
Br1552	D2-SPN	0.0601467481751308
Br1552	OPC	0.0202677423883212
Br1552	Inhib	0
Br1552	Immune	0.0106960670334371
Br2026	Oligo	0.610300515340129
Br2026	Micro	0.083296585216064
Br2026	Astro	0.198741120260486
Br2026	D1-SPN	0.0349028022468699
Br2026	D2-SPN	0.0326512616110143
Br2026	OPC	0.0288535446252563
Br2026	Inhib	1.05528231555473e-05
Br2026	Immune	0.0112436178770244
Br2064	Oligo	0.727994305195782
Br2064	Micro	0.0353849529180894
Br2064	Astro	0.153739123935653
Br2064	D1-SPN	0.0209796445706771
Br2064	D2-SPN	0.0132547896425164
Br2064	OPC	0.0438409515626141
Br2064	Inhib	0
Br2064	Immune	0.00480623217466868
Br2374	Oligo	0.602335346015968
Br2374	Micro	0.105987832450437
Br2374	Astro	0.133731329295373
Br2374	D1-SPN	0.0272239743902061
