sample_id	cell_type	proportion	region	method	reference	cell_type_raw
Br2038	Astrocyte	0.0815649032337202	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2044	Astrocyte	0.0720519116597823	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2046	Astrocyte	0.0650193885952444	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2052	Astrocyte	0.163651940351575	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2053	Astrocyte	0.138810385917892	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2064	Astrocyte	0.140123674832966	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2074	Astrocyte	0.0715734851037171	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2075	Astrocyte	0.0780150887449024	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2076	Astrocyte	0.095637949459259	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2084	Astrocyte	0.149150169689065	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2242	Astrocyte	0.106177049444285	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2257	Astrocyte	0.0810565713571136	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2267	Astrocyte	0.173466737596269	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2271	Astrocyte	0.116478430443872	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2285	Astrocyte	0.0992175888530572	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2287	Astrocyte	0.147654912660051	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2288	Astrocyte	0.162768181665154	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2292	Astrocyte	0.129010003115077	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2295	Astrocyte	0.123812105866196	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2298	Astrocyte	0.116768189061119	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2337	Astrocyte	0.122092608521676	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2345	Astrocyte	0.12059514831064	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2346	Astrocyte	0.125524544903239	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2351	Astrocyte	0.176365593484913	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2353	Astrocyte	0.125604955992085	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2377	Astrocyte	0.110775801166421	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2421	Astrocyte	0.0585782953435908	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2423	Astrocyte	0.107607281333576	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2425	Astrocyte	0.121624121304015	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2454	Astrocyte	0.122223314221231	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2464	Astrocyte	0.153432535278694	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
