h2_quintile	n	n_annotated	frac	h2_median	h2_lo	h2_hi	ci_lo	ci_hi	annotation	annot_col	tissue
Q3	1959	457	0.233282286881062	0.105644122748462	0.0950152819384177	0.117395505742456	0.215080151099077	0.252528404190023	Promoter	hg38_genes_promoters	Hippocampus
Q4	1960	458	0.233673469387755	0.133478043855217	0.117452020837107	0.161082553973808	0.215464228950003	0.25292462937111	Promoter	hg38_genes_promoters	Hippocampus
Q5	1960	446	0.227551020408163	0.279793830342963	0.161093846953499	0.808294271599346	0.209526122447696	0.246641790087695	Promoter	hg38_genes_promoters	Hippocampus
Q1	1960	184	0.0938775510204082	0.0599339269335304	0.00242621652554996	0.0737877244485638	0.0817237898239274	0.107620139723211	Enhancer	hg38_enhancers_fantom	Hippocampus
Q2	1960	205	0.104591836734694	0.0846450610379154	0.0737886896178399	0.0950127967073147	0.0917863314132905	0.11894425325886	Enhancer	hg38_enhancers_fantom	Hippocampus
Q3	1959	184	0.0939254721796835	0.105644122748462	0.0950152819384177	0.117395505742456	0.0817657703678342	0.107674623378537	Enhancer	hg38_enhancers_fantom	Hippocampus
Q4	1960	188	0.0959183673469388	0.133478043855217	0.117452020837107	0.161082553973808	0.0836367979603736	0.109780780182005	Enhancer	hg38_enhancers_fantom	Hippocampus
Q5	1960	126	0.0642857142857143	0.279793830342963	0.161093846953499	0.808294271599346	0.0542239639172568	0.0760520609988937	Enhancer	hg38_enhancers_fantom	Hippocampus
Q1	1960	633	0.322959183673469	0.0599339269335304	0.00242621652554996	0.0737877244485638	0.302618481156696	0.34399250320619	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q2	1960	619	0.315816326530612	0.0846450610379154	0.0737886896178399	0.0950127967073147	0.295611464646385	0.336741749633158	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q3	1959	588	0.300153139356815	0.105644122748462	0.0950152819384177	0.117395505742456	0.280260901612342	0.320827613977482	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q4	1960	614	0.313265306122449	0.133478043855217	0.117452020837107	0.161082553973808	0.293110308161126	0.334150845374367	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q5	1960	568	0.289795918367347	0.279793830342963	0.161093846953499	0.808294271599346	0.270133984788741	0.310280209901486	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q1	1960	346	0.176530612244898	0.0599339269335304	0.00242621652554996	0.0737877244485638	0.160276888136256	0.194049809518123	Intergenic	hg38_genes_intergenic	Hippocampus
Q2	1960	349	0.178061224489796	0.0846450610379154	0.0737886896178399	0.0950127967073147	0.161747609404546	0.195634324696263	Intergenic	hg38_genes_intergenic	Hippocampus
Q3	1959	409	0.20877998979071	0.105644122748462	0.0950152819384177	0.117395505742456	0.191351527552975	0.227348339992349	Intergenic	hg38_genes_intergenic	Hippocampus
Q4	1960	399	0.203571428571429	0.133478043855217	0.117452020837107	0.161082553973808	0.18632394559196	0.221978595949356	Intergenic	hg38_genes_intergenic	Hippocampus
Q5	1960	531	0.270918367346939	0.279793830342963	0.161093846953499	0.808294271599346	0.251699951186657	0.291032993997595	Intergenic	hg38_genes_intergenic	Hippocampus
